"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-10","8.28","0.01",,"34","30"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-11","10.29","0.24",,"31","27"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-12","11.63","0.00",,"29","25"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-13","11.41","0.00",,"32","22"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-14","13.42","0.07",,"23","14"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-15","12.75","0.69",,"14","7"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-16","5.59","0.00",,"20","-1"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-17","8.72","0.66",,"21","15"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-18","8.28","0.02",,"32","21"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-19","3.80","0.00",,"34","9"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-20","4.92","0.00",,"38","9"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-21","5.82","0.06",,"53","16"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-22","5.37","0.00",,"63","28"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-23","9.17","0.00",,"74","37"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-24","9.62","0.00",,"71","51"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-25","11.41","0.27",,"54","43"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-26","4.92","1.34",,"48","41"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-27","4.25","0.18",,"53","45"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-28","9.17","1.22",,"76","51"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-01","8.05","0.00",,"51","38"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-02","3.80","0.00",,"51","33"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-03","4.47","0.00",,"68","32"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-04","3.36","0.00",,"71","36"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-05","9.17","0.00",,"51","41"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-06","6.26","0.00",,"59","34"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-07","4.47","0.00",,"64","33"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-08","5.82","0.00",,"70","34"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-09","8.72","0.00",,"75","41"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-10","12.30","0.00",,"72","59"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-11","9.62","0.00",,"73","63"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-12","8.05","0.00",,"75","56"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-13","7.83","0.00",,"68","52"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-14","8.95","0.63",,"74","54"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-15","7.61","0.01",,"76","50"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-16","6.26","0.00",,"77","46"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-17","11.18","1.21",,"74","56"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-18","18.57","0.00",,"56","44"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-19","10.74","0.00",,"62","42"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-20","4.92","0.00",,"61","38"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-21","6.26","0.00",,"68","39"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-22","8.05","0.00",,"70","42"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-23","10.51","0.76",,"73","54"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-24","6.04","0.00",,"78","43"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-25","8.72","1.28",,"67","51"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-26","5.82","0.00",,"71","43"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-27","5.14","0.26",,"82","54"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-28","11.63","0.00",,"66","46"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-29","6.93","0.00",,"70","39"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-30","5.14","0.43",,"60","47"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-03-31","12.53","0.00",,"62","43"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-01","7.38","0.00",,"61","37"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-02","4.92","0.00",,"57","33"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-03","4.03","0.00",,"68","36"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-04","5.37","0.00",,"75","41"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-05","4.47","0.00",,"76","49"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-06","8.28","0.00",,"78","51"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-07","10.07","0.41",,"71","54"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-08","9.84","0.00",,"76","45"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-09","6.04","0.04",,"80","50"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-10","12.30","0.07",,"68","49"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-11","8.28","0.00",,"80","46"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-12","5.82","0.00",,"84","52"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-13","8.72","0.00",,"73","58"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-14","8.05","0.54",,"62","50"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-15","8.05","0.06",,"66","49"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-16","7.61","0.04",,"59","51"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-17","8.28","0.00",,"65","50"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-18","6.26","0.00",,"65","46"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-19","5.37","0.00",,"73","40"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-20","11.18","0.00",,"77","37"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-21","7.16","0.00",,"62","35"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-22","4.70","0.00",,"62","38"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-23","7.38","1.42",,"63","51"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-24","9.40","0.52",,"68","51"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-25","5.59","0.00",,"73","45"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-26","9.17","0.00",,"83","50"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-27","9.40","0.00",,"78","60"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-28","7.61","0.01",,"81","68"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-29","8.72","0.91",,"78","64"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-04-30","5.14","0.00",,"78","57"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-01","5.14","0.00",,"81","53"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-02","5.59","0.33",,"70","63"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-03","8.05","0.00",,"86","63"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-04","11.41","0.10",,"81","56"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-05","5.82","0.00",,"75","50"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-06","10.29","0.00",,"82","51"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-07","4.70","0.17",,"72","49"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-08","9.62","0.00",,"85","54"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-09","15.21","0.00",,"84","58"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-10","9.17","0.03",,"61","52"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-11","10.51","0.83",,"63","54"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-12","10.07","0.00",,"70","54"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-13","6.71","0.00",,"73","50"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-14","3.80","0.00",,"74","47"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-15","5.37","0.00",,"81","50"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-16","6.71","0.00",,"82","58"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-17","7.38","0.46",,"77","63"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-18","9.40","1.10",,"81","66"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-19","9.62","0.60",,"75","66"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-20","10.07","0.10",,"82","68"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-21","5.82","0.00",,"78","69"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-22","4.47","0.00",,"85","62"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-23","2.01","0.00",,"85","64"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-24","3.58","0.00",,"86","63"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-25","7.16","0.00",,"85","69"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-26","7.83","0.00",,"86","70"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-27","7.61","0.62",,"89","67"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-28","10.51","0.14",,"83","62"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-29","10.29","0.00",,"70","55"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-30","7.38","0.00",,"70","56"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-05-31","3.36","0.00",,"78","54"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-01","6.49","1.88",,"71","63"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-02","6.26","0.00",,"79","67"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-03","4.92","0.00",,"83","65"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-04","2.91","0.00",,"85","63"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-05","3.13","0.04",,"76","66"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-06","5.59","0.02",,"83","67"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-07","6.71","0.85",,"79","68"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-08","4.47","2.56",,"74","69"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-09","3.36","1.69",,"88","70"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-10","5.37","0.07",,"92","73"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-11","6.49","0.00",,"91","73"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-12","4.25","0.00",,"96","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-13","6.93","0.00",,"94","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-14","5.82","0.00",,"93","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-15","4.92","0.00",,"93","69"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-16","5.59","0.00",,"89","71"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-17","6.93","0.00",,"90","73"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-18","6.04","0.00",,"91","71"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-19","3.80","0.00",,"91","68"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-20","8.28","0.00",,"93","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-21","9.17","0.00",,"89","65"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-22","7.61","0.00",,"81","58"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-23","4.25","0.00",,"87","57"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-24","6.93","0.00",,"92","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-25","10.74","0.00",,"93","77"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-26","10.07","0.00",,"91","75"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-27","9.40","0.00",,"92","75"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-28","7.16","0.00",,"91","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-29","4.70","0.00",,"92","73"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-06-30","5.14","0.00",,"93","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-01","5.14","0.53",,"89","75"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-02","8.28","0.00",,"87","68"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-03","6.26","0.00",,"84","63"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-04","3.80","0.00",,"86","60"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-05","3.58","0.00",,"89","66"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-06","4.92","0.00",,"92","70"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-07","4.25","0.00",,"93","73"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-08","6.71","0.00",,"96","73"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-09","10.51","0.00",,"93","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-10","10.51","0.55",,"93","68"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-11","8.72","0.49",,"83","68"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-12","6.93","0.34",,"88","68"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-13","5.37","0.00",,"91","69"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-14","6.71","0.00",,"92","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-15","8.28","0.00",,"91","74"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-16","7.83","0.00",,"87","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-17","4.92","0.38",,"81","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-18","3.80","0.04",,"86","73"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-19","6.71","0.02",,"86","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-20","9.62","0.00",,"88","71"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-21","8.05","0.00",,"89","71"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-22","3.58","1.00",,"91","74"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-23","2.91","0.22",,"92","74"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-24","5.14","0.00",,"92","75"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-25","3.80","0.00",,"96","75"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-26","3.58","0.05",,"94","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-27","2.91","0.00",,"96","78"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-28","3.80","0.00",,"95","78"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-29","2.46","0.00",,"96","74"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-30","3.36","0.00",,"99","75"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-07-31","6.71","0.00",,"99","77"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-01","6.71","0.00",,"91","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-02","6.04","0.03",,"88","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-03","6.93","0.00",,"87","71"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-04","4.70","0.00",,"87","67"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-05","3.58","0.00",,"88","65"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-06","2.91","0.05",,"86","69"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-07","6.04","0.00",,"93","68"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-08","8.05","0.00",,"94","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-09","10.51","0.00",,"96","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-10","8.72","0.00",,"98","75"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-11","9.62","0.00",,"98","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-12","8.05","0.00",,"98","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-13","5.14","0.00",,"96","74"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-14","4.70","0.00",,"87","74"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-15","5.59","0.98",,"87","72"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-16","6.71","0.00",,"89","68"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-17","3.58","0.02",,"90","70"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-18","3.13","0.10",,"86","73"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-19","4.25","0.13",,"87","73"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-20","6.93","0.00",,"90","74"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-21","5.82","0.00",,"93","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-22","3.80","0.00",,"95","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-23","3.36","0.00",,"97","76"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-24","3.58","0.00",,"96","75"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-25","3.58","0.00",,"97","75"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-26","5.37","0.00",,"96","75"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-27","5.14","0.00",,"93","74"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-08-28","6.04","0.00",,"93","73"
